GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,Comments
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EUR,Europe,,RUS,Russian Federation,,100,100,,,"Based on a survey in Tatarstan province, Russian Federation."
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,WPR,Western Pacific,,PHL,Philippines,,21.7,21.7,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,HTI,Haiti,,54.3,54.3,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EUR,Europe,,MDA,Republic of Moldova,,56,56,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,MUS,Mauritius,,70,70,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EMR,Eastern Mediterranean,,OMN,Oman,,70.3,70.3,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,NIC,Nicaragua,,87.1,87.1,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EMR,Eastern Mediterranean,,SYR,Syrian Arab Republic,,98.2,98.2,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,WPR,Western Pacific,,PHL,Philippines,,26.8,26.8,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,TZA,United Republic of Tanzania,,37.8,37.8,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,DOM,Dominican Republic,,52,52,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,COD,Democratic Republic of the Congo,,55.6,55.6,,,
MDG_0000000010,Median availability of selected generic medicines (%) - Public,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,EMR,Eastern Mediterranean,,SDN,Sudan,,77.1,77.1,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,WPR,Western Pacific,,CHN,China,,13.3,13.3,,,"Simple average of three survey of medicine prices and availability in China (Shaanxi, Shandong and Shanghai provinces)."
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AFR,Africa,,STP,Sao Tome and Principe,,22.2,22.2,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,WPR,Western Pacific,,COK,Cook Islands,,33.3,33.3,,,
WHS6_101,Median availability of selected generic medicines (%) - Private,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=10,PUBLISHED,Published,,2007-2013,2007-2013,,AMR,Americas,,BHS,Bahamas,,42.9,42.9,,,
