GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,Comments
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,1990,1990,,EUR,Europe,,DNK,Denmark,, 7 [ 6 -  8],7,6,8,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,EUR,Europe,,NLD,Netherlands,, 14 [ 13 -  15],14,13,15,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,EUR,Europe,,ITA,Italy,, 4 [ 3 -  5],4,3,5,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,SAU,Saudi Arabia,, 130 [ 92 -  190],130,92,190,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,AFR,Africa,,MWI,Malawi,, 634 [ 422 - 1 080],634,422,1080,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,EUR,Europe,,AUT,Austria,, 4 [ 3 -  5],4,3,5,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,THA,Thailand,, 25 [ 22 -  28],25,22,28,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,AMR,Americas,,GTM,Guatemala,, 88 [ 77 -  100],88,77,100,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,AFR,Africa,,GNQ,Equatorial Guinea,, 702 [ 457 - 1 060],702,457,1060,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,AMR,Americas,,BRA,Brazil,, 104 [ 91 -  119],104,91,119,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,1990,1990,,EMR,Eastern Mediterranean,,EGY,Egypt,,2 000 [1 700 - 2 400],2000,1700,2400,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,1990,1990,,AFR,Africa,,ETH,Ethiopia,,29 000 [21 000 - 38 000],29000,21000,38000,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2000,2000,,AFR,Africa,,MOZ,Mozambique,,7 500 [5 800 - 9 500],7500,5800,9500,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,SYR,Syrian Arab Republic,, 73 [ 52 -  102],73,52,102,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,1990,1990,,EUR,Europe,,NLD,Netherlands,, 22 [ 19 -  25],22,19,25,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,LBY,Libya,, 9 [ 6 -  15],9,6,15,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2000,2000,,EUR,Europe,,MKD,The former Yugoslav republic of Macedonia,, 3 [ 3 -  4],3,3,4,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2000,2000,,EUR,Europe,,LVA,Latvia,, 6 [ 5 -  7],6,5,7,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,AFR,Africa,,GMB,Gambia,,1 030 [ 672 - 1 490],1030,672,1490,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,LKA,Sri Lanka,, 57 [ 52 -  63],57,52,63,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,BGD,Bangladesh,, 176 [ 125 -  280],176,125,280,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,PHL,Philippines,, 114 [ 87 -  175],114,87,175,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2015,2015,,AFR,Africa,,TZA,United Republic of Tanzania,,8 200 [5 800 - 12 000],8200,5800,12000,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,1990,1990,,AFR,Africa,,SEN,Senegal,,1 800 [1 400 - 2 300],1800,1400,2300,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2015,2015,,AMR,Americas,,PRY,Paraguay,, 190 [ 150 -  230],190,150,230,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2015,2015,,EUR,Europe,,TKM,Turkmenistan,, 42 [ 20 -  73],42,20,73,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,EUR,Europe,,FIN,Finland,, 5 [ 4 -  6],5,4,6,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,AMR,Americas,,JAM,Jamaica,, 89 [ 79 -  100],89,79,100,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,EUR,Europe,,DEU,Germany,, 11 [ 10 -  13],11,10,13,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,AFR,Africa,,CIV,Cote d'Ivoire,, 671 [ 522 -  856],671,522,856,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2015,2015,,AFR,Africa,,BEN,Benin,,1 600 [1 100 - 2 500],1600,1100,2500,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,AFR,Africa,,ERI,Eritrea,, 733 [ 527 -  995],733,527,995,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2000,2000,,EUR,Europe,,ALB,Albania,, 22 [ 17 -  29],22,17,29,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2000,2000,,AMR,Americas,,TTO,Trinidad and Tobago,, 12 [ 10 -  13],12,10,13,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,EUR,Europe,,PRT,Portugal,, 13 [ 12 -  15],13,12,15,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,EUR,Europe,,SWE,Sweden,, 8 [ 7 -  9],8,7,9,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,WPR,Western Pacific,,NZL,New Zealand,, 18 [ 16 -  21],18,16,21,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,KHM,Cambodia,, 484 [ 396 -  596],484,396,596,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,KOR,Republic of Korea,, 50 [ 42 -  60],50,42,60,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,1990,1990,,AFR,Africa,,SWZ,Swaziland,, 635 [ 390 -  995],635,390,995,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,1990,1990,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,8 400 [5 500 - 12 000],8400,5500,12000,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,1990,1990,,EUR,Europe,,HRV,Croatia,, 5 [ 4 -  6],5,4,6,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2000,2000,,AFR,Africa,,CAF,Central African Republic,,1 800 [1 200 - 2 600],1800,1200,2600,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2015,2015,,AFR,Africa,,LBR,Liberia,,1 100 [ 820 - 1 600],1100,820,1600,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,EUR,Europe,,HRV,Croatia,, 11 [ 9 -  13],11,9,13,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=26,PUBLISHED,Published,,2000,2000,,EUR,Europe,,CZE,Czech Republic,, 7 [ 6 -  8],7,6,8,
MORT_MATERNALNUM,Number of maternal deaths,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622,PUBLISHED,Published,,2000,2000,,AMR,Americas,,CRI,Costa Rica,, 29 [ 26 -  33],29,26,33,
