,Prevalence of anaemia in women aged 15-49 (%)
,2011
Country, Female
Afghanistan,33.0 [16-54]
Albania,21.5 [12-36]
Algeria,32.7 [14-55]
Andorra,17.0 [8-39]
Angola,44.8 [28-58]
Antigua and Barbuda,24.9 [10-50]
Argentina,15.6 [7-34]
Armenia,25.9 [12-47]
Australia,17.5 [8-41]
Austria,18.5 [9-42]
Azerbaijan,32.7 [17-50]
Bahamas,23.1 [9-50]
Bahrain,37.6 [16-58]
Bangladesh,43.5 [35-50]
Barbados,23.1 [9-48]
Belarus,22.4 [9-48]
Belgium,18.0 [8-45]
Belize,21.7 [8-46]
Benin,49.6 [35-60]
Bhutan,43.7 [22-63]
Bolivia (Plurinational State of),32.4 [19-47]
Bosnia and Herzegovina,24.3 [10-49]
Botswana,28.5 [12-50]
Brazil,19.6 [7-47]
Brunei Darussalam,20.4 [10-42]
Bulgaria,23.9 [10-47]
Burkina Faso,49.5 [40-58]
Burundi,20.9 [14-31]
Cote d'Ivoire,48.8 [36-59]
Cabo Verde,37.9 [16-58]
Cambodia,43.8 [34-51]
Cameroon,41.5 [34-49]
Canada,16.5 [8-38]
Central African Republic,46.0 [26-62]
Chad,46.6 [25-65]
Chile,12.1 [5-28]
China,19.5 [8-41]
Colombia,19.5 [10-37]
Comoros,30.8 [13-54]
Congo,50.7 [36-60]
Costa Rica,19.0 [8-42]
Croatia,24.5 [10-48]
Cuba,23.4 [9-49]
Cyprus,27.7 [11-55]
Czech Republic,22.5 [9-46]
Democratic People's Republic of Korea,25.0 [11-46]
Democratic Republic of the Congo,49.0 [34-64]
Denmark,18.0 [8-42]
Djibouti,27.1 [9-51]
Dominica,25.5 [10-53]
Dominican Republic,26.0 [10-52]
Ecuador,24.3 [10-49]
Egypt,34.5 [16-52]
El Salvador,23.5 [9-48]
Equatorial Guinea,45.4 [28-60]
Eritrea,32.8 [13-55]
Estonia,24.0 [10-48]
Ethiopia,19.2 [14-26]
Fiji,26.8 [18-36]
Finland,17.7 [8-42]
France,18.9 [9-43]
Gabon,50.8 [32-65]
Gambia,45.3 [24-65]
Georgia,27.5 [13-46]
Germany,17.9 [9-41]
Ghana,56.4 [43-67]
Greece,20.4 [10-45]
Grenada,25.8 [10-51]
Guatemala,25.7 [11-46]
Guinea,48.4 [35-60]
Guinea-Bissau,44.6 [23-65]
Guyana,33.7 [23-45]
Haiti,37.1 [24-52]
Honduras,18.0 [8-36]
Hungary,23.5 [10-48]
Iceland,17.0 [8-40]
India,48.1 [30-64]
Indonesia,22.5 [13-37]
Iran (Islamic Republic of),28.1 [13-48]
Iraq,31.3 [12-54]
Ireland,17.2 [8-40]
Israel,17.1 [9-40]
Italy,19.4 [9-43]
Jamaica,24.4 [9-51]
Japan,22.1 [13-37]
Jordan,28.4 [21-37]
Kazakhstan,29.8 [13-50]
Kenya,25.0 [6-57]
Kiribati,20.9 [9-46]
Kuwait,22.4 [9-43]
Kyrgyzstan,32.5 [15-51]
Lao People's Democratic Republic,31.0 [16-50]
Latvia,23.5 [10-49]
Lebanon,27.5 [12-48]
Lesotho,26.8 [17-39]
Liberia,49.3 [29-64]
Libya,27.9 [11-53]
Lithuania,23.0 [9-48]
Luxembourg,17.6 [8-40]
Madagascar,31.8 [19-45]
Malawi,28.8 [21-38]
Malaysia,20.7 [9-45]
Maldives,36.6 [21-51]
Mali,56.2 [42-67]
Malta,17.1 [8-40]
Marshall Islands,20.0 [8-44]
Mauritania,39.0 [17-60]
Mauritius,23.4 [8-50]
Mexico,14.4 [8-24]
Micronesia (Federated States of),18.3 [9-38]
Mongolia,20.2 [7-43]
Montenegro,24.1 [10-49]
Morocco,33.1 [15-54]
Mozambique,44.2 [29-57]
Myanmar,30.3 [14-51]
Namibia,32.7 [13-58]
Nepal,36.1 [28-44]
Netherlands,18.1 [8-42]
New Zealand,14.8 [8-32]
Nicaragua,12.9 [6-27]
Niger,46.7 [34-58]
Nigeria,48.5 [24-71]
Norway,17.3 [8-41]
Oman,35.1 [17-55]
Pakistan,51.1 [43-58]
Panama,24.8 [10-46]
Papua New Guinea,29.8 [12-53]
Paraguay,19.3 [7-45]
Peru,18.5 [15-23]
Philippines,25.4 [13-44]
Poland,23.3 [9-48]
Portugal,18.9 [8-44]
Qatar,27.9 [11-52]
Republic of Korea,19.4 [14-28]
Republic of Moldova,26.0 [12-46]
Romania,24.3 [10-49]
Russian Federation,21.4 [9-46]
Rwanda,17.4 [12-24]
Saint Lucia,26.4 [11-53]
Saint Vincent and the Grenadines,25.3 [10-51]
Samoa,17.7 [8-39]
Sao Tome and Principe,42.7 [28-55]
Saudi Arabia,40.3 [18-65]
Senegal,57.5 [51-63]
Serbia,24.9 [11-47]
Seychelles,21.2 [7-46]
Sierra Leone,45.2 [30-59]
Singapore,22.0 [10-51]
Slovakia,23.3 [10-50]
Slovenia,23.6 [10-50]
Solomon Islands,25.3 [10-50]
Somalia,42.6 [29-55]
South Africa,27.6 [12-47]
Spain,18.1 [8-42]
Sri Lanka,25.7 [12-46]
Sudan,31.5 [14-52]
Suriname,24.9 [10-50]
Swaziland,27.8 [14-47]
Sweden,17.8 [8-42]
Switzerland,19.1 [9-44]
Syrian Arab Republic,30.9 [12-55]
Tajikistan,24.6 [15-39]
Thailand,23.8 [10-58]
The former Yugoslav republic of Macedonia,19.3 [13-27]
Timor-Leste,22.5 [14-33]
Togo,52.7 [30-74]
Tonga,18.6 [7-43]
Trinidad and Tobago,25.3 [9-51]
Tunisia,28.0 [11-52]
Turkey,28.8 [11-53]
Turkmenistan,32.1 [13-56]
Uganda,26.7 [21-35]
Ukraine,22.8 [9-48]
United Arab Emirates,26.2 [11-51]
United Kingdom of Great Britain and Northern Ireland,14.7 [9-28]
United Republic of Tanzania,39.6 [30-48]
United States of America,11.9 [9-16]
Uruguay,17.4 [6-43]
Uzbekistan,51.7 [21-67]
Vanuatu,21.7 [10-39]
Venezuela (Bolivarian Republic of),22.5 [9-47]
Viet Nam,14.1 [10-25]
Yemen,37.5 [16-62]
Zambia,29.2 [14-48]
Zimbabwe,28.4 [21-38]
