,Population (in thousands) total,Population (in thousands) total,Population (in thousands) total,Population median age (years),Population living in urban areas (%),Population living on &lt;$1 (PPP int. $) a day (%)
Country,2015,2014,2013,2013,2013, 2007-2013
Afghanistan,32526.6,31627.5,30682.5,16.5,26,
Albania,2896.7,2889.7,2883.3,32.9,55,&lt;2.0
Algeria,39666.5,38934.3,38186.1,26.9,70,
Andorra,70.5,72.8,75.9,,86,
Angola,25022,24227.5,23448.2,16.3,43,43.4
Antigua and Barbuda,91.8,90.9,90,30.5,25,
Argentina,43416.8,42980,42538.3,31.1,92,&lt;2.0
Armenia,3017.7,3006.2,2992.2,32.7,63,&lt;2.0
Australia,23969,23622.4,23270.5,37.2,89,
Austria,8544.6,8516.9,8487,42.7,66,
Azerbaijan,9754,9629.8,9497.5,29.7,54,&lt;2.0
Bahamas,388,383.1,377.8,31.8,83,
Bahrain,1377.2,1361.9,1349.4,30.1,89,
Bangladesh,160996,159078,157157,25.1,33,43.3
Barbados,284.2,283.4,282.5,36.9,32,
Belarus,9495.8,9500.4,9497.3,39.3,76,&lt;2.0
Belgium,11299.2,11226.3,11153.1,41.6,98,
Belize,359.3,351.7,344.2,23,44,
Benin,10879.8,10598.5,10322.2,18.4,43,51.6
Bhutan,774.8,765,754.6,25.8,37,2.4
Bolivia (Plurinational State of),10724.7,10561.9,10399.9,22.4,68,8
Bosnia and Herzegovina,3810.4,3817.6,3823.5,39.5,40,&lt;2.0
Botswana,2262.5,2219.9,2176.5,22.5,57,13.4
Brazil,207848,206078,204259,30.3,85,3.8
Brunei Darussalam,423.2,417.4,411.5,30.5,77,
Bulgaria,7149.8,7201.3,7252.5,43,73,&lt;2.0
Burkina Faso,18105.6,17589.2,17084.6,17.1,28,44.5
Burundi,11178.9,10816.9,10466,17.6,12,
Cote d'Ivoire,22701.6,22157.1,21622.5,19,53,35
Cabo Verde,520.5,513.9,507.3,24.2,64,13.7
Cambodia,15577.9,15328.1,15078.6,24.4,20,10.1
Cameroon,23344.2,22773,22211.2,18.3,53,27.6
Canada,35939.9,35587.8,35230.6,40.1,82,&lt;2.0
Central African Republic,4900.3,4804.3,4710.7,19.7,40,62.8
Chad,14037.5,13587.1,13145.8,15.8,22,36.5
Chile,17948.1,17762.6,17575.8,33.1,89,&lt;2.0
China,1.40E+06,1.40E+06,1.40E+06,37.4,53,6.3
Colombia,48228.7,47791.4,47342.4,27.7,76,5.6
Comoros,788.5,770,751.7,19.1,28,
Congo,4620.3,4505,4394.3,18.8,65,32.8
Cook Islands,20.8,20.7,20.6,,74,
Costa Rica,4807.9,4757.6,4706.4,29.7,75,&lt;2.0
Croatia,4240.3,4255.9,4271.5,42.6,58,&lt;2.0
Cuba,11389.6,11379.1,11362.5,40.1,77,
Cyprus,1165.3,1153.7,1141.7,35.2,67,
Czech Republic,10543.2,10542.7,10545.3,40.3,73,&lt;2.0
Democratic People's Republic of Korea,25155.3,25026.8,24895.7,33.6,61,
Democratic Republic of the Congo,77266.8,74877,72552.9,17.4,42,
Denmark,5669.1,5646.9,5624.3,41.1,87,&lt;2.0
Djibouti,887.9,876.2,864.6,22.8,77,
Dominica,72.7,72.3,72,,69,
Dominican Republic,10528.4,10405.9,10281.4,25.8,77,2.3
Ecuador,16144.4,15902.9,15661.3,26.1,63,4
Egypt,91508.1,89579.7,87613.9,25.2,43,&lt;2.0
El Salvador,6126.6,6107.7,6089.6,24.1,66,2.5
Equatorial Guinea,845.1,820.9,797.1,20.6,40,
Eritrea,5227.8,5110.4,4998.8,18.4,22,
Estonia,1312.6,1316.2,1320.1,40.9,68,&lt;2.0
Ethiopia,99390.8,96958.7,94558.4,18.2,19,36.8
Fiji,892.1,886.5,880.5,27.1,53,5.9
Finland,5503.5,5479.7,5453.1,42.3,84,&lt;2.0
France,64395.3,64121.2,63844.5,40.6,79,
Gabon,1725.3,1687.7,1650.4,20.7,87,
Gambia,1990.9,1928.2,1866.9,17,58,
Georgia,3999.8,4034.8,4082.7,37.6,53,14.1
Germany,80688.5,80646.3,80565.9,45.5,75,&lt;2.0
Ghana,27409.9,26786.6,26164.4,20.6,53,
Greece,10954.6,11000.8,11055.2,42.8,77,&lt;2.0
Grenada,106.8,106.3,105.9,26.3,36,
Guatemala,16342.9,16015.5,15690.8,19.4,51,13.7
Guinea,12608.6,12275.5,11948.7,18.6,36,40.9
Guinea-Bissau,1844.3,1800.5,1757.1,19.1,48,
Guyana,767.1,763.9,761,22.6,28,
Haiti,10711.1,10572,10431.2,22.2,56,
Honduras,8075.1,7961.7,7849.1,21.9,54,16.5
Hungary,9855,9889.5,9924.5,40.6,70,&lt;2.0
Iceland,329.4,327.3,325.4,35.5,94,&lt;2.0
India,1.30E+06,1.30E+06,1.30E+06,26.4,32,24.7
Indonesia,257564,254455,251268,27.8,52,16.2
Iran (Islamic Republic of),79109.3,78143.6,77152.4,28.5,72,
Iraq,36423.4,35273.3,34107.4,19.7,69,3.9
Ireland,4688.5,4675.2,4671.3,35.3,63,&lt;2.0
Israel,8064,7939.5,7817.8,30.1,92,&lt;2.0
Italy,59797.7,59788.7,59771.1,44.3,69,&lt;2.0
Jamaica,2793.3,2783.3,2773.2,27.7,54,
Japan,126574,126795,126985,45.9,93,&lt;2.0
Jordan,7594.5,7416.1,7214.8,23.4,83,&lt;2.0
Kazakhstan,17625.2,17371.6,17099.5,29.4,53,&lt;2.0
Kenya,46050.3,44863.6,43692.9,18.8,25,
Kiribati,112.4,110.5,108.5,23.5,44,
Kuwait,3892.1,3753.1,3593.7,29.2,98,
Kyrgyzstan,5940,5843.6,5745.7,24.6,36,5.1
Lao People's Democratic Republic,6802,6689.3,6580,21.4,37,30.3
Latvia,1970.5,1989.4,2011.9,41.5,68,&lt;2.0
Lebanon,5850.7,5612.1,5287,29.8,88,
Lesotho,2135,2109.2,2083.1,20.7,26,56.2
Liberia,4503.4,4396.6,4293.7,18.5,49,83.8
Libya,6278.4,6259,6266,26.6,78,
