State,weed enthusiasm rank
Alabama,44
Alaska,12
Arizona,10
Arkansas,37
California,8
Colorado,1
Connecticut,15
Delaware,19
District of Columbia,NaN
Florida,23
Georgia,28
Hawaii,22
Idaho,34
Illinois,17
Indiana,29
Iowa,49
Kansas,33
Kentucky,32
Louisiana,40
Maine,5
Maryland,16
Massachusetts,13
Michigan,6
Minnesota,27
Mississippi,41
Missouri,31
Montana,14
Nebraska,30
Nevada,11
New Hampshire,20
New Jersey,24
New Mexico,4
New York,18
North Carolina,25
North Dakota,50
Ohio,21
Oklahoma,42
Oregon,3
Pennsylvania,36
Rhode Island,7
South Carolina,39
South Dakota,47
Tennessee,43
Texas,35
Utah,48
Vermont,9
Virginia,45
Washington,2
West Virginia,26
Wisconsin,46
Wyoming,38
