user_id,created_at,company_id,language,activated_at,state
13365,6/1/14 15:45,8558,german,6/1/14 15:46,active
13366,6/1/14 21:03,32,german,6/1/14 21:05,active
13367,6/1/14 15:19,5475,spanish,6/1/14 15:20,active
13368,6/1/14 18:46,5930,spanish,,pending
13369,6/1/14 14:40,7,korean,6/1/14 14:42,active
13370,6/1/14 10:06,10584,german,,pending
13371,6/1/14 16:33,23,french,,pending
13372,6/1/14 9:52,6270,english,6/1/14 9:54,active
13373,6/1/14 9:04,11104,english,,pending
13374,6/1/14 16:57,10006,english,,pending
13375,6/1/14 9:47,10993,english,,pending
13376,6/1/14 16:18,13,portugese,,pending
13377,6/1/14 14:01,2082,english,6/1/14 14:03,active
13378,6/1/14 10:17,142,spanish,6/1/14 10:19,active
13379,6/1/14 13:59,11562,portugese,,pending
13380,6/1/14 12:08,1053,spanish,,pending
13381,6/1/14 16:46,6991,english,,pending
13382,6/1/14 18:36,12606,russian,,pending
13383,6/1/14 9:18,9816,english,6/1/14 9:19,active
13384,6/1/14 14:12,542,english,6/1/14 14:14,active
13385,6/1/14 16:56,6802,english,6/1/14 16:57,active
13386,6/1/14 1:27,5629,japanese,,pending
13387,6/1/14 15:26,1,japanese,6/1/14 15:28,active
13388,6/2/14 18:10,714,indian,,pending
13389,6/2/14 11:24,5601,french,,pending
13390,6/2/14 11:58,1438,english,,pending
13391,6/2/14 13:56,2,italian,,pending
13392,6/2/14 13:39,8070,french,,pending
13393,6/2/14 16:13,16,english,6/2/14 16:14,active
13394,6/2/14 9:38,4912,english,6/2/14 9:39,active
13395,6/2/14 10:00,287,english,6/2/14 10:01,active
13396,6/2/14 21:10,7972,english,6/2/14 21:11,active
13397,6/2/14 6:45,6505,english,6/2/14 6:47,active
13398,6/2/14 13:51,10110,chinese,6/2/14 13:53,active
13399,6/2/14 11:52,1,italian,6/2/14 11:53,active
13400,6/2/14 15:43,8064,german,6/2/14 15:44,active
13401,6/2/14 13:09,4545,japanese,,pending
13402,6/2/14 14:23,12911,japanese,,pending
13403,6/2/14 17:49,8205,japanese,,pending
13404,6/2/14 13:29,7236,chinese,,pending
13405,6/2/14 14:40,4161,spanish,6/2/14 14:42,active
13406,6/2/14 12:48,4400,english,6/2/14 12:50,active
13407,6/2/14 10:39,4,french,,pending
13408,6/2/14 20:40,14,english,6/2/14 20:42,active
13409,6/2/14 12:19,11744,japanese,6/2/14 12:21,active
13410,6/2/14 8:57,6998,english,,pending
13411,6/2/14 21:06,11105,english,6/2/14 21:08,active
13412,6/2/14 14:11,1638,arabic,6/2/14 14:12,active
13413,6/2/14 15:08,2207,english,,pending
13414,6/2/14 3:52,61,russian,,pending
13415,6/2/14 9:18,7638,english,,pending
13416,6/2/14 4:28,3128,french,,pending
13417,6/2/14 18:29,9,english,6/2/14 18:30,active
13418,6/2/14 16:54,3669,english,,pending
13419,6/2/14 10:40,2,german,6/2/14 10:41,active
13420,6/2/14 2:07,9569,english,6/2/14 2:09,active
13421,6/2/14 23:16,4177,japanese,,pending
13422,6/2/14 12:22,7781,english,6/2/14 12:24,active
13423,6/2/14 2:00,7115,russian,,pending
13424,6/2/14 23:23,10630,german,,pending
13425,6/2/14 14:51,2203,japanese,6/2/14 14:53,active
13426,6/2/14 16:52,8294,english,,pending
13427,6/2/14 16:22,11973,japanese,6/2/14 16:23,active
13428,6/2/14 9:07,1681,english,,pending
13429,6/2/14 15:34,12589,english,,pending
13430,6/2/14 18:22,2,spanish,,pending
