HDI rank,Country,per_breastfed,per_noVac_DTP,per_noVac_M,per1k_mor_infant,per1k_mor_5,per_malnourished_5,per1k_adult_mor_Fem,per1k_adult_mor_male,per_HIV,physicians_per10k,per_GDP_health
1,Norway,..,1,7,2.3,2.8,..,47,73,..,37.4,9.6
2,Australia,..,8,6,3.4,4.0,..,45,78,0.2,32.7,9.0
3,Switzerland,..,2,7,3.6,4.2,..,40,66,0.3,39.4,11.5
4,Denmark,..,3,11,2.9,3.5,..,60,100,0.2,34.2,10.6
5,Netherlands,..,1,4,3.3,4.0,..,54,69,..,31.5,12.9
6,Germany,..,2,3,3.2,3.9,1.3,50,92,..,38.1,11.3
6,Ireland,..,2,7,3.2,3.8,..,49,82,..,27.2,8.9
8,United States,..,2,9,5.9,6.9,2.1,76,128,..,24.5,17.1
9,Canada,..,2,5,4.6,5.2,..,52,81,..,20.7,10.9
9,New Zealand,..,7,8,5.2,6.3,..,52,80,..,27.4,9.7
11,Singapore,..,2,5,2.2,2.8,4.4,38,69,..,19.2,4.6
12,"Hong Kong, China (SAR)",..,..,..,..,..,..,..,..,..,..,..
13,Liechtenstein,..,..,..,..,..,..,..,..,..,..,..
14,Sweden,..,1,3,2.4,3.0,..,43,69,..,32.7,9.7
14,United Kingdom,..,2,5,3.9,4.6,..,55,88,0.3,27.9,9.1
16,Iceland,..,3,9,1.6,2.1,..,37,61,..,34.8,9.1
17,Korea (Republic of),..,1,1,3.2,3.7,2.5,38,93,..,21.4,7.2
18,Israel,..,5,3,3.2,4.0,..,41,72,..,33.5,7.2
19,Luxembourg,..,1,5,1.6,2.0,..,50,79,..,28.2,7.1
20,Japan,..,1,5,2.1,2.9,..,42,81,..,23.0,10.3
21,Belgium,..,1,8,3.5,4.4,..,57,98,..,29.9,11.2
22,France,..,1,11,3.5,4.2,..,52,109,..,31.8,11.7
23,Austria,..,7,24,3.2,3.9,..,46,91,..,48.3,11.0
24,Finland,..,1,3,2.1,2.6,..,51,114,..,29.1,9.4
25,Slovenia,..,2,6,2.3,2.9,..,49,112,..,25.2,9.2
26,Spain,..,2,5,3.6,4.2,..,40,86,0.4,37.0,8.9
27,Italy,..,1,10,3.0,3.6,..,38,69,0.3,40.9,9.1
28,Czech Republic,..,1,1,2.9,3.6,2.6,57,127,0.1,36.2,7.2
29,Greece,..,1,1,3.7,4.4,..,41,98,..,43.8,9.8
30,Estonia,..,4,6,2.7,3.4,..,64,195,1.3,32.6,5.7
31,Brunei Darussalam,..,4,1,8.4,9.9,..,69,101,..,15.0,2.5
32,Cyprus,..,1,14,2.8,3.6,..,36,75,0.1,22.9,7.4
