Column1,Column2,Net primary school enrolment ratio (%),Net primary school enrolment ratio (%)3,,,,,
Country,Year, Female, Male,,,,,
Albania,2003,95.4,97.5,,,,,
Algeria, 2007-2012,97,98,,,,,
Algeria,2011,97,98.4,,,,,
Algeria,2010,96.4,98.2,,,,,
Algeria,2009,96.7,98.4,,,,,
Algeria,2008,97.3,98.5,,,,,
Algeria,2007,96.6,98.2,,,,,
Algeria,2006,96.3,98.2,,,,,
Algeria,2005,96.1,98,,,,,
Algeria,2004,95.8,97.7,,,,,0.12
Algeria,2003,95,97,,,,,
Algeria,2002,94.5,96.8,,,,,
Algeria,2001,93.3,96.2,,,,,
Algeria,2000,91.5,94.5,,,,,
Algeria,1999,90.6,94.3,,,,,
Andorra, 2007-2012,77,77,,,,,
Andorra,2011,76.8,76.9,,,,,
Andorra,2010,79.4,78.4,,,,,
Andorra,2009,81.5,81.9,,,,,
Andorra,2008,82.9,83.7,,,,,
Andorra,2007,81.6,83.4,,,,,
Andorra,2006,81.8,82.9,,,,,
Andorra,2005,80.4,82.7,,,,,
Andorra,2004,80.2,84.4,,,,,
Andorra,2003,90.5,90.7,,,,,
Andorra,2002,89.2,88.9,,,,,
Angola, 2007-2012,78,93,,,,,
Angola,2010,78.2,93.1,,,,,
Angola,2009,80.7,91.8,,,,,
Angola,2008,80.7,90.9,,,,,
Antigua and Barbuda, 2007-2012,85,87,,,,,
Antigua and Barbuda,2011,84.7,87.2,,,,,
Antigua and Barbuda,2010,84.5,91.1,,,,,
Antigua and Barbuda,2009,88.5,92.5,,,,,
Antigua and Barbuda,2008,90,92,,,,,
Antigua and Barbuda,2007,88.8,91.5,,,,,
Argentina,2003,99,99.8,,,,,
Argentina,1999,99.1,99.8,,,,,
Armenia, 2007-2012,83,81,,,,,
Armenia,2011,82.5,80.8,,,,,
Armenia,2007,97.6,95,,,,,
Armenia,2006,93.1,90.4,,,,,
Armenia,2005,89.7,86.8,,,,,
Armenia,2004,86.6,85.3,,,,,
Armenia,2003,85.9,84.5,,,,,
Armenia,2002,87.8,86.1,,,,,
Australia, 2007-2012,98,97,,,,,
Australia,2010,97.5,96.9,,,,,
Australia,2009,97.5,96.9,,,,,
Australia,2008,97.4,96.6,,,,,
Australia,2007,97.2,96.5,,,,,
Australia,2006,95.7,94.9,,,,,
Australia,2005,95.6,94.9,,,,,
Australia,2004,95.4,94.7,,,,,
Australia,2003,95.3,94.6,,,,,
Australia,2002,95.3,94.6,,,,,
